trip_month,trip_day,trip_day_of_week,trip_hour,trip_duration,trip_distance,payment_type,pickup_zone,dropoff_zone,tip_bin
7,22,1,15,1997,11.93,2,138,40,0
7,1,1,11,1672,12.5,3,87,138,0
7,25,4,11,2501,10.2,2,138,114,0
7,14,7,17,2486,10.69,2,138,61,0
7,28,7,12,2932,7.8,2,166,246,0
7,30,2,12,1386,13,2,138,132,0
7,23,2,8,2002,12.2,2,132,73,0
7,11,4,15,2195,10.83,2,132,188,0
7,25,4,9,3104,7.1,2,230,36,0
7,14,7,16,2288,11.7,1,138,181,0
7,20,6,7,2838,9.21,1,193,85,0
7,21,7,15,2136,12.03,2,138,132,0
7,21,7,16,1722,12.6,2,138,132,0
7,21,7,17,1883,12,2,132,129,0
7,20,6,11,2654,9.46,2,195,162,0
7,21,7,17,2290,9.92,2,113,244,0
7,21,7,6,1627,12.02,2,90,138,0
7,17,3,15,1989,11.88,2,132,138,0
7,11,4,18,1955,11.8,1,138,231,0
7,2,2,17,2641,10.2,1,236,189,0
7,13,6,20,2112,11.09,2,138,230,0
7,25,4,20,0,0,2,100,264,0
7,6,6,22,1399,12.4,2,138,20,0
7,15,1,1,1504,12.2,2,80,248,0
7,15,1,22,1663,12.11,1,224,182,0
7,20,6,23,2401,10.3,2,138,249,0
7,4,4,21,1959,11.63,2,138,107,0
7,9,2,5,1806,11.94,2,186,138,0
7,23,2,20,2362,10.72,1,186,71,0
7,4,4,20,2065,10.8,2,138,68,0
7,27,6,5,1453,12.3,1,48,138,0
7,31,3,21,1781,11.71,2,138,100,0
7,20,6,23,1954,11.57,2,138,161,0
7,20,6,20,2115,10.69,2,138,230,0
7,21,7,4,1620,11.7,2,100,138,0
7,18,4,7,2981,9.19,1,138,161,1
7,12,5,15,2598,9.76,1,138,161,1
7,11,4,22,1512,12.2,1,68,200,0
7,26,5,21,2400,10.5,1,239,189,1
7,15,1,3,2250,10.3,1,90,61,1
7,26,5,21,2852,8.9,1,234,116,1
7,9,2,1,1859,12.06,1,132,189,1
